column,table,meaning,coding_research_use
cw_raw_IPEDSMain,bridge,"Original UNITID(s) of main-location match, reference only.","Official crosswalk evidence for the selected ipeds_year, retained without aid allocation. Missing when no annual OPEID crosswalk entry exists. Read together with cw_source_code, candidate cardinality, parse-completeness and preliminary-vintage flags."
cw_raw_PY_UNITID,bridge,"Prior-year UNITID(s) supplied by source, not a same-year candidate.","Official crosswalk evidence for the selected ipeds_year, retained without aid allocation. Missing when no annual OPEID crosswalk entry exists. Read together with cw_source_code, candidate cardinality, parse-completeness and preliminary-vintage flags."
cw_raw_PYNotes,bridge,Source-described prior/current UNITID change evidence.,"Official crosswalk evidence for the selected ipeds_year, retained without aid allocation. Missing when no annual OPEID crosswalk entry exists. Read together with cw_source_code, candidate cardinality, parse-completeness and preliminary-vintage flags."
cw_raw_PY_OPEID,bridge,"Prior-year final OPEID(s), not an automatically applicable historical FSA identifier.","Official crosswalk evidence for the selected ipeds_year, retained without aid allocation. Missing when no annual OPEID crosswalk entry exists. Read together with cw_source_code, candidate cardinality, parse-completeness and preliminary-vintage flags."
cw_raw_COA1,bridge,Change-event text: old OPEID|new OPEID|change type|YYYYMMDD. -2 unavailable; date and reporting period require review.,"Official crosswalk evidence for the selected ipeds_year, retained without aid allocation. Missing when no annual OPEID crosswalk entry exists. Read together with cw_source_code, candidate cardinality, parse-completeness and preliminary-vintage flags."
cw_raw_COA2,bridge,Change-event text: old OPEID|new OPEID|change type|YYYYMMDD. -2 unavailable; date and reporting period require review.,"Official crosswalk evidence for the selected ipeds_year, retained without aid allocation. Missing when no annual OPEID crosswalk entry exists. Read together with cw_source_code, candidate cardinality, parse-completeness and preliminary-vintage flags."
cw_raw_COA3,bridge,Change-event text: old OPEID|new OPEID|change type|YYYYMMDD. -2 unavailable; date and reporting period require review.,"Official crosswalk evidence for the selected ipeds_year, retained without aid allocation. Missing when no annual OPEID crosswalk entry exists. Read together with cw_source_code, candidate cardinality, parse-completeness and preliminary-vintage flags."
cw_raw_COA4,bridge,Change-event text: old OPEID|new OPEID|change type|YYYYMMDD. -2 unavailable; date and reporting period require review.,"Official crosswalk evidence for the selected ipeds_year, retained without aid allocation. Missing when no annual OPEID crosswalk entry exists. Read together with cw_source_code, candidate cardinality, parse-completeness and preliminary-vintage flags."
cw_raw_COA5,bridge,Change-event text: old OPEID|new OPEID|change type|YYYYMMDD. -2 unavailable; date and reporting period require review.,"Official crosswalk evidence for the selected ipeds_year, retained without aid allocation. Missing when no annual OPEID crosswalk entry exists. Read together with cw_source_code, candidate cardinality, parse-completeness and preliminary-vintage flags."
cw_duplicate_opeid_rows,bridge,"More than one source record with identical year/full OPEID; all source rows retained, no arbitrary reduction.","Official crosswalk evidence for the selected ipeds_year, retained without aid allocation. Missing when no annual OPEID crosswalk entry exists. Read together with cw_source_code, candidate cardinality, parse-completeness and preliminary-vintage flags."
ipeds_crosswalk_anchor_sensitivity,bridge,Official site-candidate identity/scope comparison between award-year start and end.,"scope_or_identity_conflict: either anchor has multiple site candidates or incomplete parsing, or both have different singleton site candidates. year_unavailable: at least one OPEID-year crosswalk record is absent; this can be a missing year or missing entry. stable_unique: both have the same singleton; ambiguous_or_unmatched: remaining cases with records. Conflict vetoes the restrictive longitudinal subset but need not erase the chosen-year annual identity. Absence of crosswalk evidence is not proof of longitudinal stability."
ipeds_candidate_unitid_before_descriptor_review,bridge,Singleton identity candidate before FSA-versus-IPEDS descriptor checks.,Nullable integer retained even when explicit foreign/domestic geography contradiction blocks final unitid. Evidence only; use final unitid and eligibility for analysis.
ipeds_candidate_instnm,bridge,Annual directory name of the candidate before descriptor review.,Retained to explain a geography veto or inspect naming differences. Not a name-based matching key or proof of comparable institutional scope.
ipeds_candidate_stabbr,bridge,Annual directory state/jurisdiction of the candidate before descriptor review.,Raw abbreviation used with FSA geography evidence. Preserved when final resolved metadata are cleared after an explicit geography conflict.
ipeds_identity_geography_conflict,bridge,Explicit foreign-versus-domestic contradiction between FSA and the prospective IPEDS identity.,"Boolean: FSA foreign_explicit with HD state in US/DC/territories/freely associated states, or FSA domestic/territorial with HD FC. True blocks final UNITID/annual eligibility and excludes that disproved membership from universe coverage. Ordinary differences between domestic states do not trigger this veto."
ipeds_fsa_hd_state_conflict,bridge,Both canonical FSA and candidate HD states are domestic/territorial but differ.,"Boolean review diagnostic only. Includes headquarters versus branch addresses, moves, and timing differences; does not automatically revoke identity. Canonical FSA state only, unlike geography classification which examines available program-family descriptors."
ipeds_fsa_hd_name_similarity,bridge,Normalized name similarity between canonical FSA name and candidate HD institution name.,"Nullable numeric ratio0–1 from SequenceMatcher after school_compare_key normalization. Computed only when both comparison names exist; higher is more similar. This is a review aid, not an identity match score or institutional-scope certification."
ipeds_fsa_hd_name_review_required,bridge,Candidate FSA/HD names have low normalized similarity.,"Boolean true when nonmissing name similarity is below0.5. Diagnostic only; renaming, retrospective source descriptors and reporting parents can explain differences. False also includes missing comparison names and does not guarantee agreement."
fsa_source_identity_kind,bridge,Distinguishes the reviewed noninstitutional consolidation-account placeholder from other FSA reporting IDs.,noninstitutional_placeholder only for full ID88888800 with source label DEFAULT SCHOOL FOR CONSOLIDATED LOANS; otherwise institution_or_unverified_reporting_unit. The placeholder is preserved for original source accounting but never receives an annual UNITID or institutional eligibility. Other values do not certify every reporting ID as a real standalone institution.
